Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Human_adenovirus_30	NA	0	0	0	0	0
Human_adenovirus_31	NA	0	0	0	0	0
Human_adenovirus_32	NA	0	0	0	0	0
Human_adenovirus_33	NA	0	0	0	0	0
Human_adenovirus_34	NA	0	0	0	0	0
Human_adenovirus_34a	NA	0	0	0	0	0
Human_adenovirus_35	NA	0	0	0	0	0
Human_adenovirus_35+11	NA	0	0	0	0	0
Human_adenovirus_36	NA	0	0	0	0	0
Human_adenovirus_38	NA	0	0	0	0	0
Human_adenovirus_38H44	NA	0	0	0	0	0
Human_adenovirus_39	NA	0	0	0	0	0
Human_adenovirus_3p	NA	0	0	0	0	0
Human_adenovirus_40	NA	0	0	0	0	0
Human_adenovirus_41	NA	0	0	0	0	0
Human_adenovirus_41_Wisconsin	NA	0	0	0	0	0
Human_adenovirus_42	NA	0	0	0	0	0
Human_adenovirus_43	NA	0	0	0	0	0
Human_adenovirus_44	NA	0	0	0	0	0
Human_adenovirus_45	NA	0	0	0	0	0
Human_adenovirus_46	NA	0	0	0	0	0
Human_adenovirus_47	NA	0	0	0	0	0
Human_adenovirus_48	NA	0	0	0	0	0
Human_adenovirus_49	NA	0	0	0	0	0
Human_adenovirus_4a	NA	0	0	0	0	0
Human_adenovirus_5	NA	0	0	0	0	0
Human_adenovirus_50	NA	0	0	0	0	0
Human_adenovirus_50_prototype_strain_Wan	NA	0	0	0	0	0
Human_adenovirus_51	NA	0	0	0	0	0
Human_adenovirus_52	NA	0	0	0	0	0
Human_adenovirus_53	NA	0	0	0	0	0
Human_adenovirus_54	NA	0	0	0	0	0
Human_adenovirus_55	NA	0	0	0	0	0
Human_adenovirus_56	NA	0	0	0	0	0
Human_adenovirus_57	NA	0	0	0	0	0
Human_adenovirus_58	NA	0	0	0	0	0
Human_adenovirus_59_MSJ-2011	NA	0	0	0	0	0
Human_adenovirus_6	NA	0	0	0	0	0
Human_adenovirus_60a	NA	0	0	0	0	0
Human_adenovirus_61	NA	0	0	0	0	0
Human_adenovirus_62	NA	0	0	0	0	0
Human_adenovirus_63	NA	0	0	0	0	0
Human_adenovirus_64	NA	0	0	0	0	0
Human_adenovirus_65	NA	0	0	0	0	0
Human_adenovirus_66	NA	0	0	0	0	0
Human_adenovirus_67	NA	0	0	0	0	0
Human_adenovirus_68	NA	0	0	0	0	0
Human_adenovirus_69	NA	0	0	0	0	0
Human_adenovirus_7	NA	0	0	0	0	0
Human_adenovirus_71	NA	0	0	0	0	0
Human_adenovirus_7428	NA	0	0	0	0	0
Human_adenovirus_7620	NA	0	0	0	0	0
Human_adenovirus_7961	NA	0	0	0	0	0
Human_adenovirus_7a	NA	0	0	0	0	0
Human_adenovirus_7d	NA	0	0	0	0	0
Human_adenovirus_7d2	NA	0	0	0	0	0
Human_adenovirus_7h	NA	0	0	0	0	0
Human_adenovirus_7l	NA	0	0	0	0	0
Human_adenovirus_7m	NA	0	0	0	0	0
Human_adenovirus_7p	NA	0	0	0	0	0
Human_adenovirus_8E	NA	0	0	0	0	0
Human_adenovirus_9042	NA	0	0	0	0	0
Human_adenovirus_9052	NA	0	0	0	0	0
Human_adenovirus_9431	NA	0	0	0	0	0
Human_adenovirus_A02-2B-2	NA	0	0	0	0	0
Human_adenovirus_A03-2B-1	NA	0	0	0	0	0
Human_adenovirus_ATCC_VR-1501	NA	0	0	0	0	0
Human_adenovirus_ATCC_VR-1502	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin003/02/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin004/02/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin131/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin524/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin604/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin619/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin643/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin682/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin718/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin749/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin769/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin859/01/DE	NA	0	0	0	0	0
Human_adenovirus_B1	NA	0	0	0	0	0
Human_adenovirus_B2	NA	0	0	0	0	0
Human_adenovirus_B3	NA	0	0	0	0	0
Human_adenovirus_Chiba_E086/2012	NA	0	0	0	0	0
Human_adenovirus_D10	NA	0	0	0	0	0
Human_adenovirus_D13	NA	0	0	0	0	0
Human_adenovirus_D15H9	NA	0	0	0	0	0
Human_adenovirus_D17H29	NA	0	0	0	0	0
Human_adenovirus_D19H30	NA	0	0	0	0	0
Human_adenovirus_D30H44	NA	0	0	0	0	0
Human_adenovirus_D37	NA	0	0	0	0	0
Human_adenovirus_D37H13	NA	0	0	0	0	0
Human_adenovirus_D37H17	NA	0	0	0	0	0
Human_adenovirus_D46H13	NA	0	0	0	0	0
Human_adenovirus_D8	NA	0	0	0	0	0
Human_adenovirus_D9	NA	0	0	0	0	0
Human_adenovirus_E4	NA	0	0	0	0	0
Human_adenovirus_H02-2B-2	NA	0	0	0	0	0
Human_adenovirus_H02-2B-3	NA	0	0	0	0	0
Human_adenovirus_H03-2B-1	NA	0	0	0	0	0
Human_adenovirus_H08-2B-2	NA	0	0	0	0	0
Human_adenovirus_I02-2B-2	NA	0	0	0	0	0
Human_adenovirus_I05-2B-2	NA	0	0	0	0	0
Human_adenovirus_LZY153B	NA	0	0	0	0	0
Human_adenovirus_MKJ/Chennai/2010	NA	0	0	0	0	0
Human_adenovirus_RKI-2797/04	NA	0	0	0	0	0
Human_adenovirus_S02-2B-1	NA	0	0	0	0	0
Human_adenovirus_S03-2B-1	NA	0	0	0	0	0
Human_adenovirus_S03-2B-2	NA	0	0	0	0	0
Human_adenovirus_S03-2B-3	NA	0	0	0	0	0
Human_adenovirus_S05-2B-2	NA	0	0	0	0	0
Human_adenovirus_S06-2B-3	NA	0	0	0	0	0
Human_adenovirus_S07-2B-2	NA	0	0	0	0	0
Human_adenovirus_S08-2B-3	NA	0	0	0	0	0
Human_adenovirus_S10-1-6	NA	0	0	0	0	0
Human_adenovirus_isolate_MY7/1	NA	0	0	0	0	0
Human_adenovirus_isolate_MY8/1	NA	0	0	0	0	0
Human_adenovirus_isolate_SGH2289	NA	0	0	0	0	0
Human_adenovirus_isolate_SGH5253	NA	0	0	0	0	0
Human_adenovirus_type_35p	NA	0	0	0	0	0
Human_hepatitis_A_virus	NA	0	0	0	0	0
JC_polyomavirus	NA	0	0	0	0	0
JC_virus_x_BK_virus	NA	0	0	0	0	0
Klebsiella_oxytoca	Klebsiella_oxytoca	1	1	1	1	277616
Klebsiella_pneumoniae	Klebsiella_pneumoniae_subsp._pneumoniae	0.503	3	8	8	5355459
Klebsiella_pneumoniae_RYC492	Klebsiella_pneumoniae_RYC492	0.239	2	9	9	2647
Klebsiella_pneumoniae_subsp._pneumoniae	Klebsiella_pneumoniae_subsp._pneumoniae	1	1	1	1	5226330
Klebsiella_pneumoniae_subsp._pneumoniae_1158	Klebsiella_pneumoniae_subsp._pneumoniae_1158	0.092	0	2	2	5341039
Klebsiella_pneumoniae_subsp._rhinoscleromatis	NA	0	0	0	0	0
Legionella_pneumophila	NA	0	0	0	0	0
Leptospira_alexanderi	NA	0	0	0	0	0
Leptospira_alstonii	NA	0	0	0	0	0
Leptospira_borgpetersenii	NA	0	0	0	0	0
Leptospira_broomii	NA	0	0	0	0	0
Leptospira_fainei	NA	0	0	0	0	0
Leptospira_inadai	NA	0	0	0	0	0
Leptospira_interrogans	NA	0	0	0	0	0
Leptospira_kirschneri	NA	0	0	0	0	0
Leptospira_kmetyi	NA	0	0	0	0	0
Leptospira_licerasiae	NA	0	0	0	0	0
Leptospira_noguchii	NA	0	0	0	0	0
Leptospira_santarosai	NA	0	0	0	0	0
Leptospira_weilii	NA	0	0	0	0	0
Leptospira_wolffii	NA	0	0	0	0	0
Methanobrevibacter_oralis	NA	0	0	0	0	0
Moraxella_catarrhalis	NA	0	0	0	0	0
Mycobacterium_avium	Mycobacterium_avium_subsp._paratuberculosis_MAP4	1	1	1	1	4829424
Mycobacterium_canettii	NA	0	0	0	0	0
Mycobacterium_colombiense	NA	0	0	0	0	0
Mycobacterium_intracellulare	NA	0	0	0	0	0
Mycobacterium_kansasii	NA	0	0	0	0	0
Mycobacterium_leprae	NA	0	0	0	0	0
Mycobacterium_tuberculosis_complex	NA	0	0	0	0	0
Mycoplasma_pneumoniae	Mycoplasma_pneumoniae_M1139	0.007	0	4	4	817045
Neisseria	Neisseria_lactamica_020-06	1	3	3	3	2220606
Neisseria_elongata_subsp._glycolytica_ATCC_29315	Neisseria_elongata_subsp._glycolytica_ATCC_29315	1	1	1	1	2256647
Neisseria_gonorrhoeae	Neisseria_gonorrhoeae	1	3	3	3	2168698
Neisseria_lactamica	Neisseria_lactamica	0.327	1	3	3	2146723
Neisseria_meningitidis	Neisseria_meningitidis	1	6	6	6	2170619
Neisseria_meningitidis_M0579	Neisseria_meningitidis_M0579	1	1	1	1	2324822
Parvimonas_micra	Parvimonas_micra	1	2	2	2	1627009
Peptostreptococcus_anaerobius	NA	0	0	0	0	0
Plasmodium_falciparum	NA	0	0	0	0	0
Plasmodium_vivax	NA	0	0	0	0	0
Plasmodium_vivax_Sal-1	Plasmodium_vivax_Sal-1	0	0	3	3	3004884
Pneumocystis_carinii	NA	0	0	0	0	0
Pneumocystis_jirovecii	NA	0	0	0	0	0
Porphyromonas_gingivalis	Porphyromonas_gingivalis	0.419	9	22	22	2367029
Porphyromonas_gingivalis_A7A1-28	Porphyromonas_gingivalis_A7A1-28	1	2	2	2	2249024
Porphyromonas_gingivalis_JCVI_SC001	Porphyromonas_gingivalis_JCVI_SC001	1	1	1	1	2426396
Porphyromonas_gingivalis_W83	Porphyromonas_gingivalis_W83	1	1	1	1	2343476
Rickettsia_africae	NA	0	0	0	0	0
Rickettsia_akari	NA	0	0	0	0	0
Rickettsia_conorii	NA	0	0	0	0	0
Rickettsia_felis	NA	0	0	0	0	0
Rickettsia_japonica	NA	0	0	0	0	0
Rickettsia_prowazekii	NA	0	0	0	0	0
Rickettsia_rickettsii	NA	0	0	0	0	0
Rickettsia_sibirica	NA	0	0	0	0	0
Rickettsia_typhi	NA	0	0	0	0	0
Salmonella_enterica_subsp._enterica	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.156	1	7	7	148711
Salmonella_enterica_subsp._enterica_serovar_Dublin	Salmonella_enterica_subsp._enterica_serovar_Dublin	1	2	2	2	74548
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._77-1427	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._77-1427	1	1	1	1	39599
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120916	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120916	0.535	3	10	10	4807994
Salmonella_enterica_subsp._enterica_serovar_Saintpaul	Salmonella_enterica_subsp._enterica_serovar_Saintpaul	1	1	1	1	81409
Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633	Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633	0.326	2	8	8	4585
Salmonella_enterica_subsp._enterica_serovar_Typhi	Salmonella_enterica_subsp._enterica_serovar_Typhi	0.789	16	21	21	4835677
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0	0	2	2	4958254
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	1	1	1	1	148711
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._USDA-ARS-USMARC-1898	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._USDA-ARS-USMARC-1898	1	1	1	1	35954
Salmonella_typhimurium_TR7095	NA	0	0	0	0	0
Schistosoma_mansoni	Schistosoma_mansoni	1	1	1	1	1227
Shigella_boydii	NA	0	0	0	0	0
Shigella_boydii_CDC_3083-94	Shigella_boydii_CDC_3083-94	0.498	2	4	4	4615997
Shigella_dysenteriae	NA	0	0	0	0	0
Shigella_dysenteriae_Sd197	Shigella_dysenteriae_Sd197	1	1	1	1	4369232
Shigella_flexneri	Shigella_flexneri_2a_str._2457T	1	9	9	9	4599354
Shigella_flexneri_1a	Shigella_flexneri_1a	1	1	1	1	4698633
Shigella_flexneri_2002017	Shigella_flexneri_2002017	0.154	0	3	3	4042
Shigella_flexneri_G1663	Shigella_flexneri_G1663	1	1	1	1	4594725
Shigella_sonnei	Shigella_sonnei	0.594	3	7	7	4935567
Staphylococcus_aureus	NA	0	0	0	0	0
Streptococcus	Streptococcus_salivarius	0.585	67	129	129	2100988
Streptococcus_acidominimus	Streptococcus_acidominimus	1	2	2	2	2330811
Streptococcus_agalactiae	Streptococcus_agalactiae	0.558	28	54	54	2214297
Streptococcus_anginosus	Streptococcus_anginosus	0.026	7	484	484	2036353
Streptococcus_constellatus_subsp._pharyngis	Streptococcus_constellatus_subsp._pharyngis_C232	1	1	1	1	1935414
Streptococcus_cristatus_AS_1.3089	Streptococcus_cristatus_AS_1.3089	1	5	5	5	2142100
Streptococcus_dysgalactiae_subsp._equisimilis_RE378	Streptococcus_dysgalactiae_subsp._equisimilis_RE378	1	1	1	1	2151145
Streptococcus_gordonii	Streptococcus_gordonii	0	0	3	3	2121309
Streptococcus_gordonii_str._Challis_substr._CH1	Streptococcus_gordonii_str._Challis_substr._CH1	1	1	1	1	2196662
Streptococcus_infantarius	Streptococcus_infantarius	1	1	1	1	1818293
Streptococcus_mitis	Streptococcus_mitis	1	3	3	3	1906344
Streptococcus_mitis_B6	Streptococcus_mitis_B6	0.498	2	4	4	2146611
Streptococcus_mutans	Streptococcus_mutans	1	2	2	2	1984441
Streptococcus_oralis	Streptococcus_oralis	0	0	4	4	1966910
Streptococcus_oralis_Uo5	Streptococcus_oralis_Uo5	1	2	2	2	1958690
Streptococcus_oralis_subsp._tigurinus	Streptococcus_oralis_subsp._tigurinus	1	3	3	3	1889005
Streptococcus_pantholopis	Streptococcus_pantholopis	1	2	2	2	2241302
Streptococcus_parasanguinis	Streptococcus_parasanguinis_ATCC_15912	1	1	1	1	2153652
Streptococcus_parasanguinis_ATCC_15912	Streptococcus_parasanguinis_ATCC_15912	0.432	3	7	7	2153652
Streptococcus_parasanguinis_FW213	Streptococcus_parasanguinis_FW213	1	4	4	4	2171609
Streptococcus_pasteurianus_ATCC_43144	Streptococcus_pasteurianus_ATCC_43144	0.608	9	15	15	2100077
Streptococcus_pneumoniae	Streptococcus_pneumoniae_AP200	1	2	2	2	2130580
Streptococcus_pseudopneumoniae_IS7493	Streptococcus_pseudopneumoniae_IS7493	0	0	2	2	2190731
Streptococcus_pyogenes	Streptococcus_pyogenes	1	3	3	3	1878699
Streptococcus_pyogenes_MGAS10394	Streptococcus_pyogenes_MGAS10394	1	1	1	1	1899877
Streptococcus_pyogenes_MGAS2096	Streptococcus_pyogenes_MGAS2096	1	12	12	12	1860355
Streptococcus_salivarius	Streptococcus_salivarius	0.788	15	19	19	2191044
Streptococcus_salivarius_CCHSS3	Streptococcus_salivarius_CCHSS3	1	1	1	1	2217184
Streptococcus_salivarius_JIM8777	Streptococcus_salivarius_JIM8777	1	1	1	1	2210574
Streptococcus_sp._A12	Streptococcus_sp._A12	1	7	7	7	1874337
Streptococcus_sp._HSISM1	Streptococcus_sp._HSISM1	0.483	2	4	4	2334592
Streptococcus_sp._HSISS3	Streptococcus_sp._HSISS3	1	1	1	1	2399857
Streptococcus_sp._I-P16	Streptococcus_sp._I-P16	0.5	2	4	4	2023580
Streptococcus_sp._NPS_308	Streptococcus_sp._NPS_308	1	2	2	2	1924728
Streptococcus_sp._VT_162	Streptococcus_sp._VT_162	1	2	2	2	2041142
Streptococcus_sp._oral_taxon_431	Streptococcus_sp._oral_taxon_431	0.505	2	4	4	2177905
Streptococcus_suis	Streptococcus_suis	0.285	15	112	112	2137649
Streptococcus_suis_GZ1	Streptococcus_suis_GZ1	0.709	63	105	105	2038034
Streptococcus_thermophilus	Streptococcus_thermophilus	0.736	1611	2403	2403	1791656
Streptococcus_thermophilus_CNRZ1066	Streptococcus_thermophilus_CNRZ1066	1	3	3	3	1796226
Streptococcus_thermophilus_JIM_8232	Streptococcus_thermophilus_JIM_8232	0.007	0	2	2	1929905
Streptococcus_thermophilus_LMG_18311	Streptococcus_thermophilus_LMG_18311	1	13	13	13	1796846
Streptococcus_thermophilus_TH1435	Streptococcus_thermophilus_TH1435	0	0	2	2	3944
Streptococcus_thermophilus_TH1477	Streptococcus_thermophilus_TH1477	0	0	2	2	1834035
Streptococcus_thermophilus_TH985	Streptococcus_thermophilus_TH985	1	1	1	1	1789956
Taenia_solium	Homo_sapiens	1	1	1	1	985506
Tannerella_forsythia	Tannerella_forsythia_92A2	0.276	4	17	17	3405521
Tannerella_forsythia_92A2	Tannerella_forsythia_92A2	0.1	33	1121	1121	3405521
Toxoplasma_gondii	NA	0	0	0	0	0
Toxoplasma_gondii_ME49	Toxoplasma_gondii_ME49	0	109	109	109	899
Treponema	Treponema_putidum	0.505	1	3	3	2796913
Treponema_denticola	NA	0	0	0	0	0
Treponema_denticola_ATCC_35404	Treponema_denticola_ATCC_35404	0.001	0	266	266	2771508
Treponema_denticola_ATCC_35405	NA	0	0	0	0	0
Treponema_pallidum	NA	0	0	0	0	0
Treponema_pallidum_subsp._pallidum	NA	0	0	0	0	0
Treponema_pallidum_subsp._pertenue	NA	0	0	0	0	0
Treponema_putidum	Treponema_putidum	0.02	0	4	4	2796913
Treponema_sp._OMZ_838	Treponema_sp._OMZ_838	0.267	1	4	4	2708067
