Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Human_adenovirus_60a	NA	0	0	0	0	0
Human_adenovirus_61	NA	0	0	0	0	0
Human_adenovirus_62	NA	0	0	0	0	0
Human_adenovirus_63	NA	0	0	0	0	0
Human_adenovirus_64	NA	0	0	0	0	0
Human_adenovirus_65	NA	0	0	0	0	0
Human_adenovirus_66	NA	0	0	0	0	0
Human_adenovirus_67	NA	0	0	0	0	0
Human_adenovirus_68	NA	0	0	0	0	0
Human_adenovirus_69	NA	0	0	0	0	0
Human_adenovirus_7	NA	0	0	0	0	0
Human_adenovirus_71	NA	0	0	0	0	0
Human_adenovirus_7428	NA	0	0	0	0	0
Human_adenovirus_7620	NA	0	0	0	0	0
Human_adenovirus_7961	NA	0	0	0	0	0
Human_adenovirus_7a	NA	0	0	0	0	0
Human_adenovirus_7d	NA	0	0	0	0	0
Human_adenovirus_7d2	NA	0	0	0	0	0
Human_adenovirus_7h	NA	0	0	0	0	0
Human_adenovirus_7l	NA	0	0	0	0	0
Human_adenovirus_7m	NA	0	0	0	0	0
Human_adenovirus_7p	NA	0	0	0	0	0
Human_adenovirus_8E	NA	0	0	0	0	0
Human_adenovirus_9042	NA	0	0	0	0	0
Human_adenovirus_9052	NA	0	0	0	0	0
Human_adenovirus_9431	NA	0	0	0	0	0
Human_adenovirus_A02-2B-2	NA	0	0	0	0	0
Human_adenovirus_A03-2B-1	NA	0	0	0	0	0
Human_adenovirus_ATCC_VR-1501	NA	0	0	0	0	0
Human_adenovirus_ATCC_VR-1502	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin003/02/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin004/02/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin131/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin524/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin604/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin619/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin643/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin682/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin718/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin749/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin769/01/DE	NA	0	0	0	0	0
Human_adenovirus_AdV/Berlin859/01/DE	NA	0	0	0	0	0
Human_adenovirus_B1	NA	0	0	0	0	0
Human_adenovirus_B2	NA	0	0	0	0	0
Human_adenovirus_B3	NA	0	0	0	0	0
Human_adenovirus_Chiba_E086/2012	NA	0	0	0	0	0
Human_adenovirus_D10	NA	0	0	0	0	0
Human_adenovirus_D13	NA	0	0	0	0	0
Human_adenovirus_D15H9	NA	0	0	0	0	0
Human_adenovirus_D17H29	NA	0	0	0	0	0
Human_adenovirus_D19H30	NA	0	0	0	0	0
Human_adenovirus_D30H44	NA	0	0	0	0	0
Human_adenovirus_D37	NA	0	0	0	0	0
Human_adenovirus_D37H13	NA	0	0	0	0	0
Human_adenovirus_D37H17	NA	0	0	0	0	0
Human_adenovirus_D46H13	NA	0	0	0	0	0
Human_adenovirus_D8	NA	0	0	0	0	0
Human_adenovirus_D9	NA	0	0	0	0	0
Human_adenovirus_E4	NA	0	0	0	0	0
Human_adenovirus_H02-2B-2	NA	0	0	0	0	0
Human_adenovirus_H02-2B-3	NA	0	0	0	0	0
Human_adenovirus_H03-2B-1	NA	0	0	0	0	0
Human_adenovirus_H08-2B-2	NA	0	0	0	0	0
Human_adenovirus_I02-2B-2	NA	0	0	0	0	0
Human_adenovirus_I05-2B-2	NA	0	0	0	0	0
Human_adenovirus_LZY153B	NA	0	0	0	0	0
Human_adenovirus_MKJ/Chennai/2010	NA	0	0	0	0	0
Human_adenovirus_RKI-2797/04	NA	0	0	0	0	0
Human_adenovirus_S02-2B-1	NA	0	0	0	0	0
Human_adenovirus_S03-2B-1	NA	0	0	0	0	0
Human_adenovirus_S03-2B-2	NA	0	0	0	0	0
Human_adenovirus_S03-2B-3	NA	0	0	0	0	0
Human_adenovirus_S05-2B-2	NA	0	0	0	0	0
Human_adenovirus_S06-2B-3	NA	0	0	0	0	0
Human_adenovirus_S07-2B-2	NA	0	0	0	0	0
Human_adenovirus_S08-2B-3	NA	0	0	0	0	0
Human_adenovirus_S10-1-6	NA	0	0	0	0	0
Human_adenovirus_isolate_MY7/1	NA	0	0	0	0	0
Human_adenovirus_isolate_MY8/1	NA	0	0	0	0	0
Human_adenovirus_isolate_SGH2289	NA	0	0	0	0	0
Human_adenovirus_isolate_SGH5253	NA	0	0	0	0	0
Human_adenovirus_type_35p	NA	0	0	0	0	0
Human_hepatitis_A_virus	NA	0	0	0	0	0
JC_polyomavirus	NA	0	0	0	0	0
JC_virus_x_BK_virus	NA	0	0	0	0	0
Klebsiella_oxytoca	Klebsiella_oxytoca	0.748	1296	1759	1759	6155924
Klebsiella_oxytoca_KONIH1	Klebsiella_oxytoca_KONIH1	1	1	1	1	6152190
Klebsiella_pneumoniae	Klebsiella_pneumoniae	0.429	3	7	7	5497083
Klebsiella_pneumoniae_subsp._pneumoniae	Klebsiella_pneumoniae_subsp._pneumoniae	0	0	2	2	5298647
Klebsiella_pneumoniae_subsp._rhinoscleromatis	NA	0	0	0	0	0
Legionella_pneumophila	NA	0	0	0	0	0
Leptospira_alexanderi	NA	0	0	0	0	0
Leptospira_alstonii	NA	0	0	0	0	0
Leptospira_borgpetersenii	NA	0	0	0	0	0
Leptospira_broomii	NA	0	0	0	0	0
Leptospira_fainei	NA	0	0	0	0	0
Leptospira_inadai	NA	0	0	0	0	0
Leptospira_interrogans	NA	0	0	0	0	0
Leptospira_kirschneri	NA	0	0	0	0	0
Leptospira_kmetyi	NA	0	0	0	0	0
Leptospira_licerasiae	NA	0	0	0	0	0
Leptospira_noguchii	NA	0	0	0	0	0
Leptospira_santarosai	NA	0	0	0	0	0
Leptospira_weilii	NA	0	0	0	0	0
Leptospira_wolffii	NA	0	0	0	0	0
Methanobrevibacter_oralis	NA	0	0	0	0	0
Moraxella_catarrhalis	NA	0	0	0	0	0
Mycobacterium_avium	NA	0	0	0	0	0
Mycobacterium_canettii	NA	0	0	0	0	0
Mycobacterium_colombiense	NA	0	0	0	0	0
Mycobacterium_intracellulare	NA	0	0	0	0	0
Mycobacterium_kansasii	NA	0	0	0	0	0
Mycobacterium_leprae	NA	0	0	0	0	0
Mycobacterium_tuberculosis_complex	NA	0	0	0	0	0
Mycoplasma_pneumoniae	NA	0	0	0	0	0
Neisseria	Neisseria_gonorrhoeae_FA_1090	1	2	2	2	2153922
Neisseria_elongata_subsp._glycolytica_ATCC_29315	Neisseria_elongata_subsp._glycolytica_ATCC_29315	1	1	1	1	2256647
Neisseria_gonorrhoeae	NA	0	0	0	0	0
Neisseria_meningitidis	Neisseria_meningitidis	0.333	1	3	3	2264278
Parvimonas_micra	Parvimonas_micra	1	1	1	1	1627009
Peptostreptococcus_anaerobius	NA	0	0	0	0	0
Plasmodium_falciparum	NA	0	0	0	0	0
Plasmodium_falciparum_3D7	Plasmodium_falciparum_3D7	1	1	1	1	643292
Plasmodium_vivax	NA	0	0	0	0	0
Pneumocystis_carinii	NA	0	0	0	0	0
Pneumocystis_jirovecii	NA	0	0	0	0	0
Porphyromonas_gingivalis	Porphyromonas_gingivalis	0.695	9	13	13	2367029
Porphyromonas_gingivalis_A7A1-28	Porphyromonas_gingivalis_A7A1-28	1	1	1	1	2249024
Porphyromonas_gingivalis_AJW4	Porphyromonas_gingivalis_AJW4	0.013	0	2	2	2372492
Porphyromonas_gingivalis_W83	NA	0	0	0	0	0
Rickettsia_africae	NA	0	0	0	0	0
Rickettsia_akari	NA	0	0	0	0	0
Rickettsia_conorii	NA	0	0	0	0	0
Rickettsia_felis	NA	0	0	0	0	0
Rickettsia_japonica	NA	0	0	0	0	0
Rickettsia_prowazekii	NA	0	0	0	0	0
Rickettsia_rickettsii	NA	0	0	0	0	0
Rickettsia_sibirica	NA	0	0	0	0	0
Rickettsia_typhi	NA	0	0	0	0	0
Salmonella_enterica_subsp._enterica	NA	0	0	0	0	0
Salmonella_enterica_subsp._enterica_serovar_India_str._SA20085604	Salmonella_enterica_subsp._enterica_serovar_India_str._SA20085604	1	2	2	2	5395280
Salmonella_enterica_subsp._enterica_serovar_Typhi	Salmonella_enterica_subsp._enterica_serovar_Typhi_str._Ty21a	1	1	1	1	4791958
Salmonella_typhimurium_TR7095	NA	0	0	0	0	0
Schistosoma_mansoni	Schistosoma_mansoni	1	1	1	1	1395986
Shigella_boydii	NA	0	0	0	0	0
Shigella_dysenteriae	NA	0	0	0	0	0
Shigella_flexneri	NA	0	0	0	0	0
Shigella_sonnei	NA	0	0	0	0	0
Staphylococcus_aureus	Staphylococcus_aureus	0	0	3	3	46953
Streptococcus	Streptococcus_anginosus	0.264	38	251	251	2036353
Streptococcus_acidominimus	Streptococcus_acidominimus	0.175	6	58	58	2330811
Streptococcus_agalactiae	Streptococcus_agalactiae	0.756	15	21	21	2214297
Streptococcus_anginosus	Streptococcus_anginosus	0.277	14	123	123	2036353
Streptococcus_anginosus_C238	Streptococcus_anginosus_C238	1	4	4	4	2233640
Streptococcus_anginosus_group	Streptococcus_constellatus_subsp._pharyngis_C232	1	1	1	1	1935414
Streptococcus_cristatus_AS_1.3089	Streptococcus_cristatus_AS_1.3089	0.335	3	9	9	2142100
Streptococcus_dysgalactiae_subsp._equisimilis_167	Streptococcus_dysgalactiae_subsp._equisimilis_167	1	1	1	1	2076397
Streptococcus_dysgalactiae_subsp._equisimilis_RE378	Streptococcus_dysgalactiae_subsp._equisimilis_RE378	0	0	2	2	2151145
Streptococcus_equi_subsp._equi	Streptococcus_equi_subsp._equi_4047	1	5	5	5	2253793
Streptococcus_equinus	Streptococcus_equinus	0.62	10	16	16	2074802
Streptococcus_gordonii	Streptococcus_gordonii	1	11	11	11	2222466
Streptococcus_gordonii_str._Challis_substr._CH1	Streptococcus_gordonii_str._Challis_substr._CH1	1	1	1	1	2196662
Streptococcus_intermedius_B196	Streptococcus_intermedius_B196	0.013	0	2	2	1996214
Streptococcus_intermedius_C270	Streptococcus_intermedius_C270	1	1	1	1	1960728
Streptococcus_mitis	Streptococcus_mitis	0.846	11	13	13	1906344
Streptococcus_mitis_B6	Streptococcus_mitis_B6	0.871	13	15	15	2146611
Streptococcus_mutans	Streptococcus_mutans_UA159-FR	1	1	1	1	2031692
Streptococcus_oralis	Streptococcus_oralis	1	12	12	12	2053209
Streptococcus_oralis_Uo5	Streptococcus_oralis_Uo5	1	4	4	4	1958690
Streptococcus_oralis_subsp._tigurinus	Streptococcus_oralis_subsp._tigurinus	1	1	1	1	1889005
Streptococcus_pantholopis	Streptococcus_pantholopis	0.027	0	2	2	2241302
Streptococcus_parasanguinis	Streptococcus_parasanguinis_ATCC_15912	0.625	20	32	32	2153652
Streptococcus_parasanguinis_ATCC_15912	Streptococcus_parasanguinis_ATCC_15912	0.893	34	38	38	2153652
Streptococcus_parasanguinis_FW213	Streptococcus_parasanguinis_FW213	0.755	37	49	49	2171609
Streptococcus_parauberis_NCFD_2020	Streptococcus_parauberis_NCFD_2020	1	1	1	1	2164480
Streptococcus_pasteurianus_ATCC_43144	Streptococcus_pasteurianus_ATCC_43144	0.068	4	128	128	2100077
Streptococcus_pneumoniae	Streptococcus_pneumoniae_TCH8431/19A	0.444	8	18	18	2088772
Streptococcus_pseudopneumoniae_IS7493	Streptococcus_pseudopneumoniae_IS7493	0.485	2	4	4	2190731
Streptococcus_pyogenes	Streptococcus_pyogenes	0.333	1	3	3	1943415
Streptococcus_pyogenes_MGAS2096	Streptococcus_pyogenes_MGAS2096	0.244	15	72	72	1860355
Streptococcus_salivarius	Streptococcus_salivarius	0.695	22	32	32	2259227
Streptococcus_salivarius_57.I	Streptococcus_salivarius_57.I	0.338	2	6	6	2138805
Streptococcus_salivarius_CCHSS3	Streptococcus_salivarius_CCHSS3	1	4	4	4	2217184
Streptococcus_salivarius_JIM8777	Streptococcus_salivarius_JIM8777	1	1	1	1	2210574
Streptococcus_sanguinis_SK36	Streptococcus_sanguinis_SK36	0.417	5	12	12	2388435
Streptococcus_sp._A12	Streptococcus_sp._A12	1	10	10	10	1874337
Streptococcus_sp._FDAARGOS_192	Streptococcus_sp._FDAARGOS_192	1	5	5	5	2208027
Streptococcus_sp._HSISM1	Streptococcus_sp._HSISM1	0.822	63	77	77	2334592
Streptococcus_sp._HSISS1	Streptococcus_sp._HSISS1	1	2	2	2	2128142
Streptococcus_sp._HSISS2	Streptococcus_sp._HSISS2	1	1	1	1	2360910
Streptococcus_sp._HSISS3	Streptococcus_sp._HSISS3	0.333	1	3	3	2399857
Streptococcus_sp._I-G2	Streptococcus_sp._I-G2	0.5	2	4	4	1992567
Streptococcus_sp._I-P16	Streptococcus_sp._I-P16	1	4	4	4	2023580
Streptococcus_sp._NPS_308	Streptococcus_sp._NPS_308	1	2	2	2	1924728
Streptococcus_sp._VT_162	Streptococcus_sp._VT_162	1	1	1	1	2041142
Streptococcus_sp._oral_taxon_431	Streptococcus_sp._oral_taxon_431	1	5	5	5	2177905
Streptococcus_suis	Streptococcus_suis_05HAS68	0.269	11	81	81	2176073
Streptococcus_suis_GZ1	Streptococcus_suis_GZ1	0.42	32	111	111	2038034
Streptococcus_thermophilus	Streptococcus_thermophilus	0.789	15	19	19	1839134
Streptococcus_thermophilus_MTH17CL396	Streptococcus_thermophilus_MTH17CL396	1	1	1	1	1863
Taenia_solium	Aeromonas_veronii	0	0	2	2	4756751
Tannerella_forsythia	Tannerella_forsythia_92A2	0.274	3	11	11	3405521
Tannerella_forsythia_3313	Tannerella_forsythia_3313	1	1	1	1	3350939
Tannerella_forsythia_92A2	Tannerella_forsythia_92A2	0.061	30	1686	1686	3405521
Toxoplasma_gondii	NA	0	0	0	0	0
Toxoplasma_gondii_ME49	Toxoplasma_gondii_ME49	0.261	2	8	8	899
Treponema	Treponema_putidum	0.874	3	5	5	2796913
Treponema_denticola	Treponema_denticola_ATCC_35405	1	1	1	1	2843201
Treponema_denticola_ATCC_35404	Treponema_denticola_ATCC_35404	0.001	0	154	154	2771508
Treponema_denticola_ATCC_35405	NA	0	0	0	0	0
Treponema_pallidum	NA	0	0	0	0	0
Treponema_pallidum_subsp._pallidum	NA	0	0	0	0	0
Treponema_pallidum_subsp._pertenue	NA	0	0	0	0	0
Treponema_putidum	Treponema_putidum	0.395	1	3	3	2796913
Treponema_sp._OMZ_838	Treponema_sp._OMZ_838	0.377	1	3	3	2708067
Treponema_succinifaciens_DSM_2489	Treponema_succinifaciens_DSM_2489	0.422	5	16	16	2731853
Trichinella_spiralis	NA	0	0	0	0	0
Trypanosoma_brucei	NA	0	0	0	0	0
Trypanosoma_cruzi	NA	0	0	0	0	0
Variola_major_virus	NA	0	0	0	0	0
Variola_minor_virus	NA	0	0	0	0	0
Veillonella_parvula	Veillonella_parvula	0.779	368	481	481	2178518
Veillonella_parvula_HSIVP1	Veillonella_parvula_HSIVP1	0.817	138	169	169	2177985
Vibrio_cholerae	NA	0	0	0	0	0
Vibrio_parahaemolyticus	NA	0	0	0	0	0
Vibrio_vulnificus	NA	0	0	0	0	0
Yersinia_enterocolitica	NA	0	0	0	0	0
Yersinia_pestis	NA	0	0	0	0	0
Yersinia_pseudotuberculosis	NA	0	0	0	0	0
Yersinia_pseudotuberculosis_complex	Yersinia_pestis_D182038	0	0	2	2	4626944
